label,acc_x_min,acc_y_min,acc_z_min,acc_x_max,acc_y_max,acc_z_max,acc_x_skewness,acc_y_skewness,acc_z_skewness,acc_x_kurtosis,acc_y_kurtosis,acc_z_kurtosis,gy_x_min,gy_y_min,gy_z_min,gy_x_max,gy_y_max,gy_z_max,gy_x_skewness,gy_y_skewness,gy_z_skewness,gy_x_kurtosis,gy_y_kurtosis,gy_z_kurtosis
1,-20.29,-44.25,-3.61,22.48,11.52,20.79,-1.5294810903734646,-1.8395355666572768,4.456499873769177,3.9370485596338796,5.554879585727125,48.080147058282364,-4.61,-2.65,-4.03,2.51,5.53,5.61,-1.829984185610422,2.9253875486911216,3.431070748234698,15.410724052795608,25.896011763854624,25.41368852472859
1,-14.97,-32.27,-9.81,18.07,10.61,15.36,-1.16732544099863,-1.224547407926562,0.9452094911977614,1.31600982867604,1.7253297260800426,1.5986720117065412,-3.01,-2.01,-3.86,8.0,7.98,3.84,2.2938733210803903,5.553974090986265,1.058012778568683,21.858422956588683,63.656316719935646,11.949848827162267
0,-12.03,-11.16,-4.87,27.55,4.41,11.43,-0.6436277537003824,-1.026777191738247,0.751382027905662,1.473019613780341,-0.4878467997648439,-0.5375027780903356,-4.61,-3.22,-3.12,1.74,2.61,2.23,-1.4339397405399963,-0.35316132179712634,-0.7476146375090501,10.211783413767591,7.817975965084479,6.508261888696696
0,6.85,-3.11,-5.35,15.24,6.06,4.76,0.9292676618098267,-0.33110270336706005,-0.23093866470467658,0.574814845778572,0.5274226219202909,0.34509540503316094,-2.8,-1.01,-0.8,2.85,0.89,0.5,-0.1222852681543018,-0.47655659319652716,-0.576976653737167,-0.03966911786079752,1.0968559268100853,0.36146118430266805
0,5.22,-4.2,-7.25,15.14,7.04,13.98,0.5740352654047005,-0.605293572820553,0.37328893818113,-0.060105670949936574,0.9208779018477857,2.591464478285393,-6.19,-1.18,-0.95,3.41,1.3,0.9,-0.32760386288828924,-0.22832095438316594,-0.40956417031539555,0.26128929615718954,1.291910967089156,-0.03251764696215709
0,6.72,-3.8,-7.13,14.46,4.85,5.74,0.5995698682353906,-0.8910577382197029,-0.027353015245695497,-0.7515516930899677,0.8805687566566962,0.45220780501470825,-3.38,-0.92,-0.77,1.48,0.79,0.49,-0.6016327935129772,-0.7908988926973427,-0.5685180081407535,0.8387123032109836,0.6724899045664539,-0.48524451800365753
1,-14.42,-29.29,-14.37,20.13,18.12,38.78,-1.498552856474964,-2.032743021980024,2.974454934704664,3.333752780534348,8.211756354288205,18.711018341617685,-6.4,-4.1,-1.4,8.73,8.73,3.61,2.3921310413753796,6.000502032378912,3.4154124977860136,40.81371909175188,72.2038733703051,21.811965391557532
0,-11.14,-11.97,-4.16,16.59,6.38,13.59,-1.2787180409423722,-1.1922285749670314,0.983027733572518,1.6582137594717645,0.15406634192208157,0.049321773848419515,-4.15,-3.04,-2.26,3.98,1.95,2.54,0.017397661979139462,-0.905150560114736,-0.45674557350811706,2.4338006062119897,4.635032887945779,6.692452774454727
1,-13.46,-20.41,-8.84,19.04,13.39,51.39,-0.19118934674047466,0.08253543615158822,5.894888399186808,0.14571005328793785,-1.0870726927412495,62.43032077546603,-8.73,-4.09,-1.58,5.08,5.5,3.36,-2.5636864621873383,1.1669933012856162,2.6991730180947937,25.7427894536759,10.259879937110089,11.098762170846108
0,-6.86,-11.45,-4.24,29.5,6.64,11.92,-3.5522971763081514,-4.0263120711968465,2.3242531448998993,24.800485750058883,16.539921225153464,9.11745732962913,-2.96,-2.39,-3.17,2.7,1.86,1.88,-0.8081777722070602,-2.824781414886774,-3.7877948963834713,12.015543992499936,44.21954288961609,53.5043340345892
0,6.51,-2.32,-2.99,16.23,4.5,8.02,1.431688345449781,-0.5294590438042294,0.9525487281320617,2.4782256806525593,0.4058990595444887,0.991803510643511,-0.88,-0.84,-0.85,2.12,1.3,0.52,0.5667409384987697,0.2635879372812039,-0.5614171918995616,0.5634884904199091,0.8981666447981773,0.226010473314743
0,6.25,-1.79,-3.32,15.12,4.98,4.29,0.8641187732005707,-0.43643054273504583,0.4821551404758296,0.32130643824678184,-0.12172217051517631,-0.06353909456564777,-1.21,-0.65,-0.85,1.27,0.52,0.45,0.15410827437775093,-0.6438809255615872,-0.7564138319523646,-0.38974768738444654,0.03693641372336254,0.5556903800520256
0,6.56,-2.31,-4.28,14.65,4.68,6.03,0.3403608779841256,-0.3512793491442404,0.6024452375364342,-0.8319454655894045,-0.2598396941616614,0.8428094301338818,-1.66,-0.61,-0.7,1.04,0.48,0.49,-0.10161654054932241,-0.7074241746876928,-0.5376640432533273,0.0476004018918319,0.20781720878254095,-0.3364466794225698
0,6.17,-3.41,-3.74,16.56,4.71,5.49,0.3753419722880548,-0.34253374631464584,0.7090520304858008,-0.5607211463937674,-0.07303404242527112,1.1645982043568104,-1.68,-1.3,-0.7,0.93,0.7,0.43,-0.49386864497855465,-0.8724411462578576,-0.6713088866289979,0.3454628730687843,1.941473004292706,-0.3513586228610275
0,5.56,-4.65,-4.39,15.82,6.42,4.68,0.2695353344441433,-0.35089406969742837,0.14228596926798412,-0.6532539459768256,0.2822980734608498,-0.06678975655295183,-2.85,-1.58,-0.96,1.02,1.4,0.51,-1.2007389160798638,-0.6483386198567126,-0.6484943512597146,4.085844111197938,3.41029802035132,-0.2357609728865504
0,5.71,-3.39,-6.66,15.37,5.41,11.08,0.30419434357937,-0.31391041164672595,1.0454268944929137,-0.9125011029296668,0.03944310788747618,4.477963347138305,-5.03,-2.43,-1.22,3.67,2.68,0.54,-0.31706212645230747,0.3920084666922401,-1.037496248588657,12.851588880132457,14.284439939171513,1.0482160009559323
0,5.89,-2.79,-4.42,16.58,7.64,6.3,1.4674227017035177,-0.9895883227698076,0.7471788865139559,10.266333632033751,1.5636625614460113,2.5612629388239245,-2.15,-0.77,-0.94,1.42,0.85,1.54,-0.8819048444555817,-0.025497774605054545,-0.1594410267633302,4.736641769894749,5.200355648497187,7.639267981391352
0,5.61,-2.33,-5.5,17.51,5.73,6.41,0.31411350643272634,0.10985286054121982,0.4666539670763305,-0.7987414420389354,-0.6164601755757193,0.8420293508293937,-1.09,-0.66,-0.94,1.79,0.47,0.64,0.4897010480964628,-0.6199926648802303,-0.4156686132095362,0.10825885384721001,0.20395461436727258,-0.46179189415514843
0,5.22,-1.74,-4.0,16.25,5.84,6.61,0.32226286197545073,0.18721322742952304,0.39308437192260437,-0.8149992234712835,-0.5935105772067604,0.7580454573273787,-1.05,-0.76,-0.86,1.48,0.63,0.56,0.2052100462444522,-0.8079933071646491,-0.5142096194669609,-0.5741928951372244,0.558945006660903,-0.24137803388700307
0,4.41,-5.59,-4.75,18.96,6.68,7.57,0.4855749233037668,-0.37216972487631306,0.6906477016758512,-0.2783991892973572,0.8146186911747555,1.4388605760878495,-1.76,-0.74,-1.0,1.36,1.01,0.55,0.06780029934302316,-0.28771689187642296,-0.6590573759344028,-0.2075108914596444,0.5194822062056548,0.20204401331290045
0,5.26,-4.89,-4.56,18.21,6.22,7.37,0.358068670502098,-0.12426916959804703,0.6173441695397629,-0.764448865902847,0.02430039434820408,1.171098816706194,-1.41,-0.74,-0.86,1.09,0.59,0.57,-0.029174101628741678,-0.4324891774172897,-0.8189657559991239,-0.24208528029146592,-0.2714832063293202,0.32307034222266706
0,5.54,-3.87,-4.53,19.08,4.74,6.3,0.6236700394421927,-0.2709087765983118,0.6926140416631897,0.28505384516105314,-0.020573379658963997,1.1498469314595532,-1.47,-0.77,-1.01,1.07,0.55,0.48,-0.03443921962345221,-0.6039184619508934,-1.0251344960663917,0.09907583420265675,0.9189627394779123,1.3208401107110168
